"","text"
"1","klu  diviralkan tinggal pencet tombol  rtlmoeldoko imbau tokoh blik jujur  terr covidpemerintah mendorong tokoh blik  kela lembaga   lasan masyarakat  terbuka  terr virus sars cov cc "
"2"," takut divaksinvaksin covid produksi sinovac aman  halal "
"3","  biaya rawatan  obatobatan  direkomendasikan  sien covid ditanggung bpjs   obatobat   masuk standar ngobatan a dasar mberiannya"
"4","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"5","kemarin   melarkan rekor kematian covid keemt kali    terakhirjawa  menyumbang  tertinggi   kali cah rekor   kumulatif jawa timur  tertinggikarena  nyawa berharga   dikendalikan  "
"6"," covid  main main  yuk jaga orang yg  sayangi sblum smua terlambat   berbagi aja       orang yg ku kenal  direnggut  covid tetatuhi otokol kesehatan ya bro sis"
"7","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"8","bria edi wiyanto anggota bhabinkantibmas polsek nguntoronadi membagikan masker keda warga masyarakat kec nguntorodi  mengantisisi  virus covid jumat  "
"9","anggota bhabinkantibmas polsek nguntoronadi bria edi wiyanto  himbauan keda warga masyarakat kel kedungrejo   memakai masker  menjaga jarak  mengantisisi  virus covid jumat  "
"10","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"11","satgas covid dorong daerah manfaatkan indikator peta risiko  berita terkini  indonesia"
"12","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"13","airlangga  orang  suka blikasi   mengumumkan sitif covid  menjaga stabilitas ekonomi kretagama airlangga jalantengah solusikebangsaan "
"14","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"15"," crossing sami covid habis  gol gol"
"16"," maaf   isolasi mandiri covid  tdk  terima kunjungan"
"17","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"18"," takut divaksinvaksin covid produksi sinovac aman  halal "
"19","covid  rcaya  andemik ta jual vitamin  rawat covid"
"20","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"21","dilarkan hostal  brazil kehabisan bekalan oksigen kerana sakit covid    ramai keluarga sakit  terksa membeli  bekalan oksigen  venezuelaperkara   menyedihkan "
"22","pelayanan vaksinasi covid  ra nerima vaksin  melewati emt meja  alurnya yuk simak infografik  vaksinasi    melindungi   ta   tanggung     melindungi orang s "
"23","sahabat imunicare     mberitaan simng siur terkait vaksin covid salah satunya terkait kemasan vaksin serti a sih  kemasan vaksin covid     vaksinasi covid  indonesia mari simak n "
"24","  covid"
"25","pengusaha  artis langgar aturan covid      bebashrs  fpi    alasan   utk  tangkadan  bubarkanyaudah  ya semau elu aja urus bangsa inintr   masanya elu kualat"
"26","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"27","hubungi agensi   ketahui  mymudah  membantu rniagaan  terjejas akibat ndemik covid barisanhadanekonomi "
"28","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"29","viral unila ngotot turunkan mahasiswa kkn  desadesa dahal  ditegur gugus tugas covid "
"30","perbedaan  kemasan vaksin covid  "
"31","edannegara sur wer   anning vaksinisasi covid  trumbenar rcaya  pandemi covid   konspirasi lt lt lt  resmi masuk gedung putih tim biden heran pemerintahan trumtak  rencana vaksinasi corona "
"32","serangan ndemi covid     semt  simisme nyelenggara  luang keberlanjutan kai   berhasil menyelenggarakan kai keemt da tanggal  maret     bumi perkemahan cibubur"
"33","serangan ndemi covid     semt  simisme nyelenggara  luang keberlanjutan kai   berhasil menyelenggarakan kai keemt da tanggal  maret     bumi perkemahan cibubur"
"34","serangan ndemi covid     semt  simisme nyelenggara  luang keberlanjutan kai   berhasil menyelenggarakan kai keemt da tanggal  maret     bumi perkemahan cibubur"
